133,194,4
133,42,2
133,240,4
133,311,4
134,128,3
134,194,3
134,146,4
135,135,1
135,215,4
136,169,1
137,139,10
137,78,5
137,143,5
138,143,1
139,128,9
139,256,1
139,130,1
139,131,9
139,311,8
139,137,10
139,139,55
139,192,2
139,142,8
139,143,13
139,144,9
139,216,2
139,277,3
139,150,2
139,279,1
139,280,1
139,282,1
139,156,6
139,31,6
139,32,9
139,291,2
139,70,5
139,166,5
139,39,4
139,169,6
139,42,3
139,43,6
139,172,1
139,303,8
139,304,3
139,305,1
139,9,4
139,58,1
139,61,3
139,64,5
139,65,3
139,194,15
139,267,2
139,198,4
139,140,8
139,55,1
139,76,2
139,77,2
139,78,2
139,80,5
139,75,2
139,211,1
139,88,2
139,246,4
139,250,13
139,298,4
139,253,1
139,126,5
140,139,8
140,143,4
141,289,6
141,203,4
142,80,1
142,194,5
142,139,8
142,143,8
143,130,2
143,131,1
143,137,5
143,138,1
143,139,13
143,140,4
143,142,8
143,143,15
143,272,1
143,152,1
143,165,2
143,39,4
143,169,3
143,171,2
143,44,5
143,303,3
143,304,2
143,50,3
143,309,5
143,311,2
143,65,2
143,194,8
143,79,1
143,80,5
143,210,1
143,225,2
143,105,5
143,110,1
143,240,2
143,250,2
144,194,6
144,139,9
144,77,1
144,80,2
144,126,6
144,311,1
146,98,4
146,134,4
146,270,3
146,210,5
146,311,1
147,147,6
150,139,2
152,256,1
152,194,1
152,143,1
152,212,1
152,94,2
152,57,5
152,154,1
152,156,5
152,95,3
153,153,2
154,152,1
155,226,5
156,224,3
156,65,1
156,139,6
156,172,4
156,53,9
156,152,5
156,255,3
158,158,2
158,102,4
159,302,6
159,198,9
159,253,1
160,48,3
160,305,6
160,194,6
162,303,1
165,303,2
165,199,4
165,165,5
165,143,2
166,101,4
166,167,13
166,169,14
166,139,5
166,307,4
166,311,7
167,166,13
167,167,1
167,76,5
167,77,1
167,79,2
167,80,1
168,168,1
169,128,2
169,166,14
169,136,1
169,169,2
169,139,6
169,78,2
169,143,3
169,311,3
169,303,3
171,128,1
171,194,3
171,131,5
171,198,2
171,291,2
171,74,5
171,75,4
171,143,2
171,273,1
171,259,4
171,171,4
172,65,3
172,194,5
172,139,1
172,156,4
173,130,5
173,102,5
174,274,1
178,214,3
178,45,3
184,311,1
185,185,4
185,289,4
187,187,1
188,188,1
189,191,3
190,311,5
191,192,2
191,194,3
191,189,3
192,192,4
192,194,5
192,139,2
192,133,4
192,198,2
192,43,3
192,240,1
192,311,4
192,191,2
193,311,1
194,128,16
194,311,3
194,130,18
194,131,7
194,133,4
194,134,3
194,172,5
194,139,15
194,258,7
194,142,5
194,143,8
194,144,6
194,280,2
194,18,1
194,259,2
194,254,1
194,152,1
194,303,13
194,284,1
194,285,5
194,160,6
194,33,2
194,35,5
194,292,5
194,37,2
194,214,5
194,296,1
194,298,1
194,171,3
194,44,3
194,45,8
194,302,4
194,47,3
194,304,7
194,305,5
194,306,2
194,55,3
194,58,1
194,191,3
194,192,5
194,65,1
194,194,5
194,245,6
194,69,15
194,198,5
194,199,1
194,73,5
194,75,2
194,76,17
194,77,7
194,78,3
194,79,5
194,80,9
194,209,8
194,84,1
194,270,5
194,86,1
194,267,4
194,217,1
194,224,4
194,225,3
194,100,2
194,103,2
194,289,1
194,111,1
194,240,14
194,244,3
194,246,9
194,251,3
194,253,4
194,126,5
197,76,3
198,128,5
198,192,2
198,194,5
198,299,1
198,198,8
198,139,4
198,270,1
198,171,2
198,159,9
199,194,1
199,75,6
